Time(minutes),Speed(MPH)
8.014,0
8.02,2.485485
8.024,3.728227
8.029,3.728227
8.034,6.213712
8.039,6.213712
8.044,8.699197
8.048,10.56331
8.053,10.56331
8.058,12.42742
8.063,12.42742
8.068,14.29154
8.072,16.15565
8.077,16.15565
8.082,16.77702
8.087,16.77702
8.092,19.26251
8.096,20.50525
8.101,20.50525
8.106,21.74799
8.111,21.74799
8.116,22.36936
8.121,22.36936
8.126,22.36936
8.131,23.6121
8.136,22.99073
8.14,22.99073
8.145,23.6121
8.15,21.74799
8.155,21.74799
8.16,21.74799
8.164,21.74799
8.169,21.12662
8.174,20.50525
8.179,20.50525
8.184,18.01976
8.188,18.01976
8.193,16.77702
8.198,14.29154
8.203,14.29154
8.208,13.04879
8.213,10.56331
8.218,10.56331
8.223,8.077826
8.228,8.077826
8.233,8.699197
8.237,8.077826
8.242,8.077826
8.247,6.213712
8.252,6.835083
8.257,6.835083
8.261,7.456454
8.266,7.456454
8.271,4.97097
8.276,3.728227
8.281,3.728227
8.285,3.728227
8.29,3.728227
8.295,2.485485
8.3,3.106856
8.305,3.106856
8.31,3.728227
8.315,3.728227
8.32,6.213712
8.325,7.456454
8.33,7.456454
8.334,8.699197
8.339,11.80605
8.344,11.80605
8.349,13.04879
8.354,15.53428
8.358,15.53428
8.363,18.01976
8.368,18.01976
8.373,19.88388
8.378,22.99073
8.383,22.99073
8.388,24.23348
8.393,24.23348
8.397,25.47622
8.402,28.58307
8.408,28.58307
8.413,29.82582
8.417,31.06856
8.422,31.06856
8.427,32.93267
8.432,32.93267
8.437,34.79679
8.441,36.6609
8.446,36.6609
8.451,38.52501
8.456,39.14639
8.461,39.14639
8.465,40.38913
8.47,40.38913
8.475,42.25324
8.48,42.87461
8.485,42.87461
8.489,44.11736
8.494,44.11736
8.499,45.98147
8.505,46.60284
8.509,46.60284
8.514,46.60284
8.519,46.60284
8.524,47.84558
8.529,48.46695
8.533,48.46695
8.538,48.46695
8.543,49.70969
8.548,49.70969
8.553,50.33107
8.557,50.33107
8.562,50.33107
8.567,50.33107
8.572,50.33107
8.577,51.57381
8.582,52.19518
8.587,52.19518
8.591,52.19518
8.596,52.19518
8.602,52.19518
8.606,53.43792
8.611,53.43792
8.616,52.81655
8.621,52.81655
8.626,53.43792
8.63,54.05929
8.635,54.05929
8.64,52.81655
8.645,53.43792
8.65,53.43792
8.655,54.05929
8.66,54.05929
8.664,54.05929
8.669,52.81655
8.674,52.81655
8.679,53.43792
8.684,52.81655
8.688,52.81655
8.693,52.19518
8.699,52.19518
8.704,52.19518
8.709,50.95244
8.714,50.95244
8.718,50.33107
8.723,50.33107
8.728,50.33107
8.733,50.33107
8.738,50.33107
8.743,50.33107
8.748,49.08833
8.752,49.08833
8.757,48.46695
8.762,48.46695
8.767,48.46695
8.772,48.46695
8.776,48.46695
8.781,47.22421
8.786,47.84558
8.791,47.84558
8.796,48.46695
8.801,48.46695
8.806,49.70969
8.811,49.08833
8.816,49.08833
8.82,49.70969
8.825,49.70969
8.83,50.33107
8.835,50.33107
8.84,50.33107
8.845,50.33107
